,Pop,Sq.Ki.,Sq.Mi.,Pop.per.Sq.Ki.,Name
,87194,269.5,104.1,323.5,Newport County
,596270,1070.4,413.3,557.0,Providence County
,110006,862.2,332.9,127.6,Washington County
,3486703,77987.8,30111.1,44.7,South Carolina
,23862,1315.8,508.0,18.1,Abbeville County
,120940,2779.3,1073.1,43.5,Aiken County
,11722,1057.3,408.2,11.1,Allendale County
,145196,1859.7,718.0,78.1,Anderson County
,16902,1018.6,393.3,16.6,Bamberg County
,20293,1420.6,548.5,14.3,Barnwell County
,86425,1520.4,587.0,56.8,Beaufort County
,128776,2847.8,1099.5,45.2,Berkeley County
,12753,985.0,380.3,12.9,Calhoun County
,295039,2376.1,917.4,124.2,Charleston County
,44506,1017.1,392.7,43.8,Cherokee County
,32170,1503.7,580.6,21.4,Chester County
,38577,2068.8,798.8,18.6,Chesterfield County
,28450,1572.8,607.2,18.1,Clarendon County
,34377,2736.3,1056.5,12.6,Colleton County
,61851,1455.7,562.1,42.5,Darlington County
,29114,1048.7,404.9,27.8,Dillon County
,83060,1488.7,574.8,55.8,Dorchester County
,18375,1300.0,501.9,14.1,Edgefield County
,22295,1778.2,686.6,12.5,Fairfield County
,114344,2070.0,799.2,55.2,Florence County
,46302,2110.5,814.9,21.9,Georgetown County
,320167,2051.5,792.1,156.1,Greenville County
,59567,1179.8,455.5,50.5,Greenwood County
,18191,1450.2,559.9,12.5,Hampton County
,144053,2936.3,1133.7,49.1,Horry County
,15487,1694.7,654.3,9.1,Jasper County
,43599,1881.1,726.3,23.2,Kershaw County
,54516,1422.0,549.0,38.3,Lancaster County
,58092,1847.1,713.2,31.5,Laurens County
,18437,1062.8,410.3,17.3,Lee County
,167611,1815.1,700.8,92.3,Lexington County
,8868,931.3,359.6,9.5,McCormick County
,33899,1266.8,489.1,26.8,Marion County
,29361,1242.5,479.7,23.6,Marlboro County
,33172,1633.8,630.8,20.3,Newberry County
,57494,1619.0,625.1,35.5,Oconee County
,84803,2864.5,1106.0,29.6,Orangeburg County
,93894,1287.0,496.9,73.0,Pickens County
