"","Pop","Sq.Ki.","Sq.Mi.","Pop.per.Sq.Ki.","Name","State"
"459","11793",1005.9,388.4,"11.7","Greene County","Georgia "
"460","352910",1121.1,432.9,"314.8","Gwinnett County","Georgia "
"461","27621",720.6,278.2,"38.3","Habersham County","Georgia "
"462","95428",1019.6,393.7,"93.6","Hall County","Georgia "
"463","8908",1225.9,473.3,"7.3","Hancock County","Georgia "
"464","21966",730.8,282.2,"30.1","Haralson County","Georgia "
"465","17788",1201.1,463.8,"14.8","Harris County","Georgia "
"466","19712",601.5,232.2,"32.8","Hart County","Georgia "
"467","8628",766.8,296.1,"11.3","Heard County","Georgia "
"468","58741",835.8,322.7,"70.3","Henry County","Georgia "
"469","89208",975.9,376.8,"91.4","Houston County","Georgia "
"470","8649",924.2,356.8,"9.4","Irwin County","Georgia "
"471","30005",886.8,342.4,"33.8","Jackson County","Georgia "
"472","8453",959.5,370.5,"8.8","Jasper County","Georgia "
"473","12032",863.5,333.4,"13.9","Jeff Davis County","Georgia "
"474","17408",1366.7,527.7,"12.7","Jefferson County","Georgia "
"475","8247",906.1,349.8,"9.1","Jenkins County","Georgia "
"476","8329",788.5,304.4,"10.6","Johnson County","Georgia "
"477","20739",1019.9,393.8,"20.3","Jones County","Georgia "
"478","13038",478.7,184.8,"27.2","Lamar County","Georgia "
"479","5531",483.9,186.8,"11.4","Lanier County","Georgia "
"480","39988",2104.7,812.6,"19.0","Laurens County","Georgia "
"481","16250",921.5,355.8,"17.6","Lee County","Georgia "
"482","52745",1344.5,519.1,"39.2","Liberty County","Georgia "
"483","7442",546.8,211.1,"13.6","Lincoln County","Georgia "
"484","6202",1038.7,401,"6.0","Long County","Georgia "
"485","75981",1306,504.3,"58.2","Lowndes County","Georgia "
"486","14573",736.8,284.5,"19.8","Lumpkin County","Georgia "
"487","20119",672.9,259.8,"29.9","McDuffie County","Georgia "
"488","8634",1122.7,433.5,"7.7","McIntosh County","Georgia "
"489","13114",1044.6,403.3,"12.6","Macon County","Georgia "
"490","21050",736.7,284.4,"28.6","Madison County","Georgia "
"491","5590",950.7,367.1,"5.9","Marion County","Georgia "
"492","22411",1303.7,503.4,"17.2","Meriwether County","Georgia "
